Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PB SMALLCAP GROWTH FUND,PBSCGF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,128.85,13.01.2016,Qualified,80.0,4/5,-0.21,0.01,-0.22,15.79,-0.45,16.24,4.89,1.06,3.83,2.29,-0.30,2.59,4.32,0.81,3.51,-0.02,1.40,0.33,0.22,0.30,75.70,16.90,,7.40,,,11.70,,,5.20,,,,,,,,,45.90,,7.20,8.10,,22.70,,,,,6.30,Spritzer Berhad | Malaysian Pacific Industries Berhad | Hume Cement Industries Berhad | Southern Cable Group Berhad | UWC Berhad,"Industrial (45.9%) | Consumer, Non-cyclical (22.7%) | Communications (8.1%) | Financial (7.2%) | Diversified (6.3%)",11.6,High,Equity Malaysia Small &,measure of fund performance. ThebenchmarkforPBSCGFisacompositeof90%FTSEBursaMalaysiaSmall Cap Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] PB Series Funds.pdf
PUBLIC CHINA TITANS FUND,PCTF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,895.94,01.04.2008,Qualified,80.0,4/5,0.31,2.62,-2.31,8.70,7.86,0.84,16.33,13.60,2.73,2.83,2.11,0.72,8.24,6.53,1.71,-0.14,0.05,0.17,0.04,0.11,,84.60,,15.40,,,7.90,31.50,,,,,7.00,,,,,,7.90,30.30,20.20,25.10,,1.10,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | China Construction Bank Corporation - H Shares | Tencent Holdings Limited | Delta Electronics Incorporated,"Technology (30.3%) | Communications (25.1%) | Financial (20.2%) | Industrial (7.9%) | Consumer, Non-cyclical (1.1%)",16.0,Very High,Equity Greater China Greater China,"2020 0.50 29.5.20 1.6 The benchmark for PCTF is a composite of 40% Hang Seng China Enterprises 2021 0.75 31.5.21 2.0 Index (HSCEI), 30% Hang Seng Index (HSI) and 30% FTSE TWSE Taiwan 50 Index(priorto30April2016),30%MSCITaiwanLargeCapIndex(30April2016to 2022 0.50 31.5.22 1.7 29 April 2021), 30% S&P Taiwan LargeCap Index (w.e.f. 30 April 2021). Note: Distribution yield simply measures the level of distributions and is UnderlyingindexdataaresourcedfromLipperandS&PDowJonesIndices,LLC not a measure of fund performance. and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC GROWTH & INCOME FUND,PISGIF,Shariah,Equity,Malaysia,Capital Growth + Income,4,Annual,122.12,07.01.2014,Qualified,80.0,4/5,1.05,1.00,0.05,6.87,7.06,-0.19,6.80,4.20,2.60,2.19,-1.20,3.39,2.48,-0.03,2.51,0.01,-0.03,0.42,0.55,0.40,75.70,20.80,,3.50,,,9.40,6.40,,,5.00,,,,,,,,13.20,,18.80,22.40,,,10.20,10.70,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Gamuda Berhad | IHH Healthcare Berhad | Taiwan Semiconductor Manufacturing Company Limited,Communications (22.4%) | Financial (18.8%) | Industrial (13.2%) | Energy (10.7%) | Utilities (10.2%),6.2,Low,Equity Malaysia Domestic,2022 0.20 30.12.22 0.9,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC STRATEGIC GROWTH FUND,PSTGF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,388.90,08.12.2014,Qualified,80.0,4/5,4.68,2.55,2.13,8.79,10.23,-1.44,10.73,8.20,2.53,4.49,3.41,1.08,8.23,4.01,4.22,0.31,-0.21,0.37,0.16,0.61,61.20,18.90,,19.90,,,6.20,4.90,7.80,,,,,,,,,,19.30,4.90,34.70,,,7.20,6.80,,,,,Malayan Banking Berhad | Public Bank Berhad | Tenaga Nasional Berhad | HD Hyundai Electric Company Limited | Taiwan Semiconductor Manufacturing Company Limited,"Financial (34.7%) | Industrial (19.3%) | Consumer, Non-cyclical (7.2%) | Utilities (6.8%) | Technology (4.9%)",6.9,Low,Equity Malaysia Domestic 30% of the fund’s NAV,"ThebenchmarkforPSTGFisacompositeof60%FTSEBursaMalaysiaKLCI,15% DowJonesIndustrialAverage,15%customisedindexbyMSCIbasedonthetop30 constituents of MSCI AC Far-East Ex-Japan Index (prior to 30 April 2021), 15% customisedindexbyS&PDowJonesIndices,LLCbasedonthetop30constituents oftheS&PBMIAsiaEx-JapanIndex(w.e.f.30April2021)and10%3-MonthKuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PB ISLAMIC ASIA STRATEGIC SECTOR FUND,PBIASSF,Conventional,Equity,Asia,Capital Growth,5,Incidental,100.08,06.09.2007,Qualified,80.0,4/5,21.38,19.33,2.05,44.95,37.52,7.43,18.24,16.02,2.22,2.63,3.33,-0.70,9.23,8.69,0.54,0.11,0.38,0.11,-0.04,0.03,,91.60,,8.40,,,,37.70,35.70,2.80,,,15.40,,,,,,23.80,49.40,,16.70,,1.70,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | SK Hynix Incorporated | HD Hyundai Electric Company Limited | Alibaba Group Holding Limited - W,"Technology (49.4%) | Industrial (23.8%) | Communications (16.7%) | Consumer, Non-cyclical (1.7%)",19.4,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPBIASSFisacompositeof90%DowJonesIslamicMarketAsia Ex-JapanIndexSM(priorto1January2009),90%S&PShariahBMIAsiaEx-Japan Index(w.e.f. 1 January 2009) and 10% 3-Month Islamic Interbank MoneyMarket (IIMM) rate. Underlying indexdata are sourced from S&P Dow Jones Indices,LLC andBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC CHINA ITTIKAL FUND,PCIF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,748.66,20.11.2007,Qualified,80.0,4/5,9.35,3.94,5.41,15.83,7.12,8.71,13.36,11.48,1.88,0.89,0.69,0.20,7.58,7.89,-0.31,0.35,0.56,0.12,0.01,-0.02,,92.30,,7.70,,,4.00,58.80,1.60,,,,27.90,,,,,,21.70,35.10,,31.30,2.70,1.50,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Unimicron Technology Corporation | Delta Electronics Incorporated | Asia Vital Components Company Limited,"Technology (35.1%) | Communications (31.3%) | Industrial (21.7%) | Consumer, Cyclical (2.7%) | Consumer, Non-cyclical (1.5%)",15.5,Very High,Equity Greater China Greater China,"ThebenchmarkforPCIFisacompositeof50%DowJonesIslamicMarketHong KongIndexSM(priorto1January2009),50%S&PShariahBMIHongKongand China'H'SharesIndex(w.e.f.1January2009),30%DowJonesIslamicMarket TaiwanIndexSM(priorto1January2009),30%S&PShariahBMITaiwanIndex (w.e.f.1January2009)and20%FTSEBursaMalaysiaEMASShariahIndex(prior to30April2011),20%FTSEBursaMalaysiaHijrahShariahIndex(w.e.f.30April 2011). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SELECT ALPHA-30 FUND,PSA30F,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,56.18,07.04.2009,Qualified,80.0,4/5,1.24,2.17,-0.93,10.35,9.01,1.34,7.37,5.69,1.68,2.01,1.70,0.31,4.25,0.37,3.88,-0.12,0.17,0.21,0.04,0.48,76.00,19.80,,4.20,,,14.50,,,,2.40,,2.90,,,,,,15.50,6.80,34.10,16.90,,,10.00,,,,,Malayan Banking Berhad | Tenaga Nasional Berhad | Public Bank Berhad | Meta Platforms Incorporated | NVIDIA Corporation,Financial (34.1%) | Communications (16.9%) | Industrial (15.5%) | Utilities (10.0%) | Technology (6.8%),8.0,Moderate,Equity Malaysia Domestic 30% of the fund’s NAV,Kuala Lumpur Composite Index (prior to 6 July 2009). FTSE Bursa Malaysia KLCI (w.e.f. 6 July 2009).,[MFR FEB26] Public Series Funds.pdf
PUBLIC INDEX FUND,PIX,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,495.38,02.03.1992,Qualified,80.0,4/5,1.08,2.70,-1.62,11.45,8.15,3.30,8.19,6.58,1.61,4.04,1.93,2.11,2.86,1.04,1.82,-0.21,0.42,0.21,0.27,0.23,96.50,,,3.50,,,,,,,,,,,,,,,11.70,,46.80,10.20,,13.30,9.70,,,,,Public Bank Berhad | LPI Capital Berhad | Tenaga Nasional Berhad | Malayan Banking Berhad | CIMB Group Holdings Berhad,"Financial (46.8%) | Consumer, Non-cyclical (13.3%) | Industrial (11.7%) | Communications (10.2%) | Utilities (9.7%)",7.8,Moderate,Equity Malaysia 100% Domestic,Kuala Lumpur Composite Index (prior to 6 July 2009). FTSE Bursa Malaysia Top 100 Index (w.e.f. 6 July 2009). Underlying index data are sourced from Lipper.,[MFR FEB26] Public Series Funds.pdf
PB GLOBAL TECHNOLOGY & HEALTHCARE FUND,PBGTHF,Conventional,Equity,Global,Capital Growth,5,Incidental,477.57,09.05.2019,Qualified,75.0,3/4,1.64,-1.75,3.39,17.86,6.21,11.65,22.13,14.86,7.27,11.37,11.40,-0.03,,,,0.22,0.75,0.47,-0.00,,,91.50,,8.50,,,45.20,14.70,19.10,,,,5.70,,4.60,,,,11.30,49.10,,15.70,2.00,,,,,,13.40,Samsung Electronics Company Limited | SK Hynix Incorporated | Apple Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited,"Technology (49.1%) | Communications (15.7%) | ETF (13.4%) | Industrial (11.3%) | Consumer, Cyclical (2.0%)",15.5,Very High,Equity Global Global,"2022 1.25 30.06.22 3.7 ThebenchmarkforPBGTHFisacompositeof50%S&PGlobal1200Information Note: Distribution yield simply measures the level of distributions and is not a TechnologyIndex, 40% S&P Global 1200 Health Care Index and 10% 1-Month measure of fund performance. Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC OPTIMAL EQUITY FUND,POEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,29.80,26.07.2016,Qualified,75.0,3/4,19.08,6.72,12.36,25.28,18.35,6.93,15.27,12.27,3.00,0.11,2.62,-2.51,,,,0.70,0.39,0.17,-0.14,,,90.30,,9.70,,,2.90,37.40,30.70,,,,19.30,,,,,,26.00,48.10,3.50,11.40,1.30,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W | Taiwan Semiconductor Manufacturing Company Limited | Chroma ATE Incorporated,"Technology (48.1%) | Industrial (26.0%) | Communications (11.4%) | Financial (3.5%) | Consumer, Cyclical (1.3%)",17.6,Very High,Equity Asia Pacific Asia,"Note: Distribution yield simply measures the level of distributions and is ThebenchmarkforPOEFisacompositeof50%customisedindexbyMSCIbased not a measure of fund performance. onthetop30constituentsofMSCIACFar-EastEx-JapanIndex(priorto30April 2021),50%customisedindexbyS&PDowJonesIndices,LLCbasedonthetop30 constituentsoftheS&PBMIAsiaEx-JapanIndex(w.e.f.30April2021),40%FTSE Bursa Malaysia KLCI and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC OPTIMAL EQUITY FUND,PIOEF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,55.45,26.07.2016,Qualified,75.0,3/4,19.68,10.53,9.15,25.69,23.49,2.20,14.67,11.70,2.97,-0.60,2.07,-2.67,,,,0.57,0.14,0.18,-0.17,,,88.00,,12.00,,,7.10,44.50,19.90,,,,16.50,,,,,,25.30,42.90,,8.00,11.80,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Unimicron Technology Corporation | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | SK Hynix Incorporated,"Technology (42.9%) | Industrial (25.3%) | Consumer, Cyclical (11.8%) | Communications (8.0%)",16.1,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB ISLAMIC SMALLCAP FUND,PBISCF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,112.66,28.03.2017,Qualified,75.0,3/4,-2.78,-1.51,-1.27,0.71,-0.19,0.90,2.77,1.30,1.47,0.95,-1.00,1.95,,,,-0.11,0.08,0.13,0.17,,18.00,75.90,,6.10,,,4.00,5.70,5.40,2.90,,,,,,,,,54.10,7.50,6.30,,,13.00,,,,,3.40,Kelington Group Berhad | Spritzer Berhad | Frontken Corporation Berhad | AME Elite Consortium Berhad | Taiwan Semiconductor Manufacturing Company Limited,"Industrial (54.1%) | Consumer, Non-cyclical (13.0%) | Technology (7.5%) | Financial (6.3%) | Diversified (3.4%)",11.4,High,Equity Malaysia Small &,Index data are sourced from Lipper.,[MFR FEB26] PB Series Funds.pdf
PB ASIA-30 EQUITY FUND,PBA30EF,Conventional,Equity,Asia,Capital Growth,5,Incidental,341.17,26.07.2018,Qualified,75.0,3/4,21.30,9.35,11.95,34.66,24.76,9.90,17.11,16.43,0.68,0.85,2.86,-2.01,,,,0.64,0.53,0.04,-0.11,,,90.10,,9.90,,,,32.90,29.10,8.10,,,20.00,,,,,,26.70,47.20,3.10,13.10,,,,,,,,SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | HD Hyundai Electric Company Limited,Technology (47.2%) | Industrial (26.7%) | Communications (13.1%) | Financial (3.1%),18.6,Very High,Equity Asia Pacific Asia,"The benchmark for PBA30EF is a composite of 80% customised index byMSCI based on the top 30 constituents of MSCI AC Far-East Ex-Japan Index (prior to 30April2021),80%customisedindexbyS&PDowJonesIndices,LLCbasedon thetop30constituentsoftheS&PBMIAsiaEx-JapanIndex(w.e.f.30April2021), 10%TokyoStock Price Indexand10%3-MonthKualaLumpurInterbankOffered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC ISLAMIC U.S. SUSTAINABLE EQUITY FUND,PIUSSEQF,Shariah,Equity,United States,Capital Growth,5,Incidental,489.16,10.04.2019,Qualified,75.0,3/4,-7.18,-3.49,-3.69,4.32,1.95,2.37,16.83,16.67,0.16,12.26,12.21,0.05,,,,-0.27,0.17,0.01,0.00,,,93.10,,6.90,,,75.40,,,2.40,2.00,,5.40,,7.30,,,,,42.40,5.00,29.40,6.90,7.10,,,,,,Meta Platforms Incorporated | Microsoft Corporation | Alphabet Incorporated - Class A | Apple Incorporated | ASML Holding N.V. - NYS,"Technology (42.4%) | Communications (29.4%) | Consumer, Non-cyclical (7.1%) | Consumer, Cyclical (6.9%) | Financial (5.0%)",13.7,Very High,Equity U.S. Global,"The benchmark for PIUSSEQF is a composite of 90% S&P United States LargeCapShariahIndex(priorto26February2025),90%S&PGlobal1200U.S. LargeCapESGShariah8%CappedIndex(w.e.f.26February2025)and10%3- Month Islamic Interbank Money Market (IIMM) rate. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandBank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC e-ISLAMIC GROWTH FUND,PeIGRF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,70.95,10.12.2021,Qualified,66.7,2/3,-2.60,0.96,-3.56,8.82,6.76,2.06,6.19,4.19,2.00,,,,,,,-0.39,0.23,0.22,,,16.80,75.40,,7.80,,,13.80,3.00,,,,,,,,,,,16.00,8.40,,22.40,,15.40,9.60,,,,,Tenaga Nasional Berhad | Press Metal Aluminium Holdings Berhad | Telekom Malaysia Berhad | TIME dotCom Berhad | IHH Healthcare Berhad,"Communications (22.4%) | Industrial (16.0%) | Consumer, Non-cyclical (15.4%) | Utilities (9.6%) | Technology (8.4%)",9.1,Moderate,Equity Malaysia,Thebenchmark for PeIGRFis acomposite of90% FTSE Bursa MalaysiaEMAS Shariah Index and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia.,[MFR FEB26] Public e-Series Funds.pdf
PUBLIC e-CARBON EFFICIENT FUND,PeCEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,390.87,09.02.2021,Qualified,66.7,2/3,-0.71,-0.31,-0.40,10.23,8.22,2.01,17.01,15.26,1.75,,,,,,,-0.03,0.15,0.13,,,,86.80,,13.20,,,51.60,9.80,,9.00,,,8.80,,6.60,,,,5.70,35.20,5.90,27.20,12.80,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Meta Platforms Incorporated | Alphabet Incorporated - Class A | Alibaba Group Holding Limited - W | Costco Wholesale Corporation,"Technology (35.2%) | Communications (27.2%) | Consumer, Cyclical (12.8%) | Financial (5.9%) | Industrial (5.7%)",13.8,Very High,Equity Global Global,"ThebenchmarkforPeCEFisacompositeof90%customisedindexbyS&PDow JonesIndices,LLCbasedontheconstituentswithlowercarbonfootprintoftheS&P Global1200Scored&ScreenedIndexand10%3-MonthKualaLumpurInterbank Offered Rate (KLIBOR). Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC e-ISLAMIC ASIA THEMATIC GROWTH FUND,PeIATGF,Shariah,Equity,Asia,Capital Growth,5,Incidental,484.57,30.11.2021,Qualified,66.7,2/3,21.96,21.16,0.80,36.10,41.58,-5.48,19.72,18.29,1.43,,,,,,,0.04,-0.31,0.08,,,,80.30,,19.70,,,2.70,38.70,28.70,,,,10.20,,,,,,31.60,37.20,,10.20,1.30,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W | HD Hyundai Electric Company Limited,"Technology (37.2%) | Industrial (31.6%) | Communications (10.2%) | Consumer, Cyclical (1.3%)",17.9,Very High,Equity Asia Pacific ex- Asia,"ThebenchmarkforPeIATGFisacustomisedindexbyS&PDowJonesIndices,LLC basedonthetop100constituentsbymarketcapitalisationoftheS&PShariahBMI Asia Ex-Japan Index. Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ASIA PACIFIC ALPHA-40 FUND,PAPA40F,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,50.57,10.12.2021,Qualified,66.7,2/3,10.69,9.35,1.34,26.00,24.76,1.24,15.62,16.43,-0.81,,,,,,,0.08,0.08,-0.05,,,1.00,87.40,,11.60,,,8.90,15.30,27.30,4.10,,,24.20,,,,,,13.40,38.50,9.20,20.70,6.60,,,,,,,SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited,"Technology (38.5%) | Communications (20.7%) | Industrial (13.4%) | Financial (9.2%) | Consumer, Cyclical (6.6%)",16.1,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPAPA40Fisacompositeof80%customisedindexbyS&PDow JonesIndices,LLCbasedonthetop30constituentsoftheS&PBMIAsiaEx-Japan Index, 10% Tokyo Stock Price Index (TOPIX) and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC ITTIKAL SEQUEL FUND,PITSEQ,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,4272.24,11.10.2011,Qualified,60.0,3/5,-1.77,1.00,-2.77,6.82,7.06,-0.24,11.77,4.20,7.57,5.59,-1.20,6.79,5.34,-0.03,5.37,-0.40,-0.03,1.10,0.98,0.78,77.00,19.20,,3.80,,,14.70,4.50,,,,,,,,,,,,10.10,17.10,21.00,,16.70,9.60,,,,,Sunway Berhad | Tenaga Nasional Berhad | Telekom Malaysia Berhad | Gamuda Berhad | QL Resources Berhad,"Communications (21.0%) | Financial (17.1%) | Consumer, Non-cyclical (16.7%) | Technology (10.1%) | Utilities (9.6%)",6.9,Low,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB GROWTH FUND,PBGF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,597.82,03.10.2002,Qualified,60.0,3/5,-0.91,2.17,-3.08,0.84,9.01,-8.17,11.05,5.69,5.36,2.45,1.70,0.75,4.43,0.37,4.06,-0.33,-0.89,0.58,0.08,0.44,78.80,7.90,,13.30,,,4.50,,,,,,3.40,,,,,,,,30.60,20.80,,12.40,7.60,,7.20,,,Malayan Banking Berhad | Public Bank Berhad | Sunway Berhad | Tenaga Nasional Berhad | TIME dotCom Berhad,"Financial (30.6%) | Communications (20.8%) | Consumer, Non-cyclical (12.4%) | Utilities (7.6%) | Basic Materials (7.2%)",9.2,Moderate,Equity Malaysia,,[MFR FEB26] PB Series Funds.pdf
PUBLIC INDUSTRY GROWTH FUND,PINDGF,Shariah,Equity,Malaysia,Capital Growth,4,Incidental,239.53,18.11.1993,Qualified,60.0,3/5,-0.19,2.17,-2.36,8.84,9.01,-0.17,9.62,5.69,3.93,2.06,1.70,0.36,4.90,0.37,4.53,-0.36,-0.03,0.60,0.05,0.69,75.70,12.30,,12.00,,,9.80,,,,2.50,,,,,,,,8.90,,24.20,16.00,6.90,,11.40,,,,,Public Bank Berhad | Tenaga Nasional Berhad | Malayan Banking Berhad | Telekom Malaysia Berhad | TIME dotCom Berhad,"Financial (24.2%) | Communications (16.0%) | Utilities (11.4%) | Industrial (8.9%) | Consumer, Cyclical (6.9%)",6.6,Low,Equity Malaysia Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC REGULARSAVINGS FUND,PRSF,Conventional,Equity,Malaysia,Capital Growth + Income,4,Annual,3633.10,25.04.1994,Qualified,60.0,3/5,1.80,2.48,-0.68,7.67,7.73,-0.06,9.97,6.31,3.66,5.21,2.09,3.12,4.67,1.31,3.36,-0.12,-0.01,0.64,0.55,0.59,75.60,15.90,,8.50,,,10.10,,,,5.80,,,,,,,,,,41.90,10.10,11.20,7.60,9.70,,,,,Public Bank Berhad | Malayan Banking Berhad | Tenaga Nasional Berhad | CIMB Group Holdings Berhad | Gamuda Berhad,"Financial (41.9%) | Consumer, Cyclical (11.2%) | Communications (10.1%) | Utilities (9.7%) | Consumer, Non-cyclical (7.6%)",5.7,Low,Equity Malaysia Domestic 25% of the fund’s NAV,"Kuala Lumpur Composite Index (prior to 6 July 2009). FTSE BursaMalaysiaTop100Index(6July2009to29April2015),90%FTSE BursaMalaysiaTop100Indexand10%3-MonthKualaLumpurInterbankOffered Rate (KLIBOR) (w.e.f. 30 April 2015). Underlying index data are sourced from Lipper and Bank Negara Malaysia.",[MFR FEB26] Public Series Funds.pdf
PUBLIC EQUITY FUND,PEF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,462.09,15.08.2001,Qualified,60.0,3/5,0.04,2.17,-2.13,7.26,9.01,-1.75,8.74,5.69,3.05,3.07,1.70,1.37,2.52,0.37,2.15,-0.35,-0.29,0.50,0.22,0.35,72.40,25.40,,2.20,,,19.20,,,,2.50,,3.70,,,,,,,7.20,37.70,24.90,,,9.90,,6.50,,,Malayan Banking Berhad | Tenaga Nasional Berhad | Public Bank Berhad | LPI Capital Berhad | Meta Platforms Incorporated,Financial (37.7%) | Communications (24.9%) | Utilities (9.9%) | Technology (7.2%) | Basic Materials (6.5%),6.1,Low,Equity Malaysia Domestic 30% of the fund’s NAV,Note: Distribution yield simply measures the level of distributions and is Kuala Lumpur Composite Index (prior to 6 July 2009). not a measure of fund performance. FTSE Bursa Malaysia KLCI (w.e.f. 6 July 2009).,[MFR FEB26] Public Series Funds.pdf
PB EURO PACIFIC EQUITY FUND,PBEPEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,67.87,08.06.2007,Qualified,60.0,3/5,7.36,8.27,-0.91,19.30,20.54,-1.24,16.17,13.17,3.00,7.53,6.08,1.45,8.46,7.75,0.71,-0.06,-0.08,0.20,0.10,0.05,1.00,92.20,,6.80,,,9.20,17.00,24.10,,8.70,,18.40,,,,,,16.40,36.90,1.10,26.60,12.20,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited | HD Hyundai Electric Company Limited,"Technology (36.9%) | Communications (26.6%) | Industrial (16.4%) | Consumer, Cyclical (12.2%) | Financial (1.1%)",15.1,Very High,Equity Global Asia,,[MFR FEB26] PB Series Funds.pdf
PUBLIC REGULAR SAVINGS SEQUEL FUND,PRSSQF,Conventional,Equity,Malaysia,Capital Growth + Income,4,Annual,43.29,15.01.2016,Qualified,60.0,3/5,-0.36,2.48,-2.84,3.99,7.73,-3.74,8.27,6.31,1.96,4.07,2.09,1.98,3.45,1.31,2.14,-0.36,-0.48,0.25,0.25,0.27,74.50,16.80,,8.70,,,12.00,,,,4.80,,,,,,,,11.50,,24.20,15.60,12.90,11.70,,,,,,Public Bank Berhad | Tenaga Nasional Berhad | Telekom Malaysia Berhad | Tesla Incorporated | Malayan Cement Berhad,"Financial (24.2%) | Communications (15.6%) | Consumer, Cyclical (12.9%) | Consumer, Non-cyclical (11.7%) | Industrial (11.5%)",7.8,Moderate,Equity Malaysia Domestic 25% of the fund’s NAV,2024 0.40 29.2.24 1.5 ThebenchmarkforPRSSQFisacompositeof90%FTSEBursaMalaysiaTop100 Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). 2025 0.45 28.2.25 1.6 Underlying index data are sourced from Lipper and Bank Negara Malaysia. 2026 0.46 27.2.26 1.6 Note: Distribution yield simply measures the level of distributions and is,[MFR FEB26] Public Series Funds.pdf
